ticker,company,earnings_date,eps_estimate,eps_actual,surprise_pct
AAPL,Apple,2025-01-30,2.34,2.4,2.52
AAPL,Apple,2024-10-31,1.6,1.64,2.28
AAPL,Apple,2024-08-01,1.34,1.4,4.3
AAPL,Apple,2024-05-02,1.51,1.53,1.46
AAPL,Apple,2024-02-01,2.11,2.18,3.55
AAPL,Apple,2023-11-02,1.39,1.46,4.93
AAPL,Apple,2023-08-03,1.19,1.26,5.66
AAPL,Apple,2023-05-04,1.43,1.52,6.37
AAPL,Apple,2023-02-02,1.95,1.88,-3.78
AAPL,Apple,2022-10-27,1.27,1.29,1.44
AAPL,Apple,2022-07-28,1.15,1.2,3.93
AAPL,Apple,2022-04-28,1.43,1.52,6.48
AAPL,Apple,2022-01-27,1.89,2.1,11.16
MSFT,Microsoft,2025-01-29,3.1,3.23,4.06
MSFT,Microsoft,2024-10-30,3.11,3.3,6.25
MSFT,Microsoft,2024-07-30,2.94,2.95,0.23
MSFT,Microsoft,2024-04-25,2.84,2.94,3.4
MSFT,Microsoft,2024-01-30,2.77,2.93,5.83
MSFT,Microsoft,2023-10-24,2.65,2.99,12.85
MSFT,Microsoft,2023-07-25,2.55,2.69,5.45
MSFT,Microsoft,2023-04-25,2.23,2.45,9.77
MSFT,Microsoft,2023-01-24,2.27,2.2,-3.17
MSFT,Microsoft,2022-10-25,2.31,2.35,1.92
MSFT,Microsoft,2022-07-26,2.29,2.23,-2.69
MSFT,Microsoft,2022-04-26,2.2,2.22,1.06
MSFT,Microsoft,2022-01-25,2.32,2.48,6.97
GOOGL,Alphabet,2025-02-04,2.13,2.15,1.18
GOOGL,Alphabet,2024-10-29,1.85,2.12,14.83
GOOGL,Alphabet,2024-07-23,1.84,1.89,2.54
GOOGL,Alphabet,2024-04-25,1.51,1.89,25.58
GOOGL,Alphabet,2024-01-30,1.6,1.64,2.53
GOOGL,Alphabet,2023-10-24,1.45,1.55,7.05
GOOGL,Alphabet,2023-07-25,1.34,1.44,7.29
GOOGL,Alphabet,2023-04-25,1.07,1.17,9.45
GOOGL,Alphabet,2023-02-02,1.19,1.05,-11.87
GOOGL,Alphabet,2022-10-25,1.26,1.06,-16.01
GOOGL,Alphabet,2022-07-26,1.29,1.21,-6.05
GOOGL,Alphabet,2022-04-26,1.28,1.23,-3.67
GOOGL,Alphabet,2022-02-01,1.36,1.53,12.52
AMZN,Amazon,2025-02-06,1.48,1.86,25.36
AMZN,Amazon,2024-10-31,1.14,1.43,25.22
AMZN,Amazon,2024-08-01,1.03,1.26,22.92
AMZN,Amazon,2024-04-30,0.83,0.98,18.16
AMZN,Amazon,2024-02-01,0.8,1.0,24.44
AMZN,Amazon,2023-10-26,0.59,0.94,58.7
AMZN,Amazon,2023-08-03,0.34,0.65,89.59
AMZN,Amazon,2023-04-27,0.21,0.31,44.29
AMZN,Amazon,2023-02-02,0.17,0.03,-82.2
AMZN,Amazon,2022-10-27,0.21,0.28,35.53
AMZN,Amazon,2022-07-28,0.12,-0.2,-272.53
AMZN,Amazon,2022-04-28,0.42,-0.38,-190.58
AMZN,Amazon,2022-02-03,0.19,1.39,641.94
NVDA,NVIDIA,2025-02-26,0.85,0.89,5.25
NVDA,NVIDIA,2024-11-20,0.75,0.81,8.52
NVDA,NVIDIA,2024-08-28,0.64,0.68,5.66
NVDA,NVIDIA,2024-05-22,0.56,0.61,9.74
NVDA,NVIDIA,2024-02-21,0.46,0.52,11.4
NVDA,NVIDIA,2023-11-21,0.34,0.4,18.73
NVDA,NVIDIA,2023-08-23,0.21,0.27,29.35
NVDA,NVIDIA,2023-05-24,0.09,0.11,18.8
NVDA,NVIDIA,2023-02-22,0.08,0.09,9.45
NVDA,NVIDIA,2022-11-16,0.07,0.06,-17.32
NVDA,NVIDIA,2022-08-24,0.05,0.05,-1.49
NVDA,NVIDIA,2022-05-25,0.13,0.14,4.86
NVDA,NVIDIA,2022-02-16,0.12,0.13,7.97
META,Meta,2025-01-29,6.74,8.02,19.0
META,Meta,2024-10-30,5.29,6.03,13.94
META,Meta,2024-07-31,4.76,5.16,8.45
META,Meta,2024-04-24,4.36,4.71,8.11
META,Meta,2024-02-01,4.97,5.33,7.23
META,Meta,2023-10-25,3.6,4.39,21.96
META,Meta,2023-07-26,2.91,2.98,2.51
META,Meta,2023-04-26,1.95,2.2,12.62
META,Meta,2023-02-01,2.23,1.76,-21.14
META,Meta,2022-10-26,1.85,1.64,-11.32
META,Meta,2022-07-27,2.55,2.46,-3.56
META,Meta,2022-04-27,2.53,2.72,7.57
META,Meta,2022-02-02,3.83,3.67,-4.06
TSLA,Tesla,2025-01-29,0.77,0.73,-4.83
TSLA,Tesla,2024-10-23,0.5,0.62,24.76
TSLA,Tesla,2024-07-23,0.62,0.52,-16.15
TSLA,Tesla,2024-04-23,0.49,0.45,-8.14
TSLA,Tesla,2024-01-24,0.74,0.71,-4.1
TSLA,Tesla,2023-10-18,0.73,0.66,-9.81
TSLA,Tesla,2023-07-19,0.82,0.91,11.12
TSLA,Tesla,2023-04-19,0.85,0.85,-0.43
TSLA,Tesla,2023-01-25,1.11,1.19,7.2
TSLA,Tesla,2022-10-19,1.0,1.05,5.23
TSLA,Tesla,2022-07-20,0.6,0.76,26.89
TSLA,Tesla,2022-04-20,0.75,1.07,42.31
TSLA,Tesla,2022-01-26,0.79,0.85,6.88
