ticker,company,earnings_date
AAPL,Apple,2025-01-30
AAPL,Apple,2024-10-31
AAPL,Apple,2024-08-01
AAPL,Apple,2024-05-02
AAPL,Apple,2024-02-01
AAPL,Apple,2023-11-02
AAPL,Apple,2023-08-03
AAPL,Apple,2023-05-04
AAPL,Apple,2023-02-02
AAPL,Apple,2022-10-27
AAPL,Apple,2022-07-28
AAPL,Apple,2022-04-28
AAPL,Apple,2022-01-27
MSFT,Microsoft,2025-01-29
MSFT,Microsoft,2024-10-30
MSFT,Microsoft,2024-07-30
MSFT,Microsoft,2024-04-25
MSFT,Microsoft,2024-01-30
MSFT,Microsoft,2023-10-24
MSFT,Microsoft,2023-07-25
MSFT,Microsoft,2023-04-25
MSFT,Microsoft,2023-01-24
MSFT,Microsoft,2022-10-25
MSFT,Microsoft,2022-07-26
MSFT,Microsoft,2022-04-26
MSFT,Microsoft,2022-01-25
GOOGL,Alphabet,2025-02-04
GOOGL,Alphabet,2024-10-29
GOOGL,Alphabet,2024-07-23
GOOGL,Alphabet,2024-04-25
GOOGL,Alphabet,2024-01-30
GOOGL,Alphabet,2023-10-24
GOOGL,Alphabet,2023-07-25
GOOGL,Alphabet,2023-04-25
GOOGL,Alphabet,2023-02-02
GOOGL,Alphabet,2022-10-25
GOOGL,Alphabet,2022-07-26
GOOGL,Alphabet,2022-04-26
GOOGL,Alphabet,2022-02-01
AMZN,Amazon,2025-02-06
AMZN,Amazon,2024-10-31
AMZN,Amazon,2024-08-01
AMZN,Amazon,2024-04-30
AMZN,Amazon,2024-02-01
AMZN,Amazon,2023-10-26
AMZN,Amazon,2023-08-03
AMZN,Amazon,2023-04-27
AMZN,Amazon,2023-02-02
AMZN,Amazon,2022-10-27
AMZN,Amazon,2022-07-28
AMZN,Amazon,2022-04-28
AMZN,Amazon,2022-02-03
NVDA,NVIDIA,2025-02-26
NVDA,NVIDIA,2024-11-20
NVDA,NVIDIA,2024-08-28
NVDA,NVIDIA,2024-05-22
NVDA,NVIDIA,2024-02-21
NVDA,NVIDIA,2023-11-21
NVDA,NVIDIA,2023-08-23
NVDA,NVIDIA,2023-05-24
NVDA,NVIDIA,2023-02-22
NVDA,NVIDIA,2022-11-16
NVDA,NVIDIA,2022-08-24
NVDA,NVIDIA,2022-05-25
NVDA,NVIDIA,2022-02-16
META,Meta,2025-01-29
META,Meta,2024-10-30
META,Meta,2024-07-31
META,Meta,2024-04-24
META,Meta,2024-02-01
META,Meta,2023-10-25
META,Meta,2023-07-26
META,Meta,2023-04-26
META,Meta,2023-02-01
META,Meta,2022-10-26
META,Meta,2022-07-27
META,Meta,2022-04-27
META,Meta,2022-02-02
TSLA,Tesla,2025-01-29
TSLA,Tesla,2024-10-23
TSLA,Tesla,2024-07-23
TSLA,Tesla,2024-04-23
TSLA,Tesla,2024-01-24
TSLA,Tesla,2023-10-18
TSLA,Tesla,2023-07-19
TSLA,Tesla,2023-04-19
TSLA,Tesla,2023-01-25
TSLA,Tesla,2022-10-19
TSLA,Tesla,2022-07-20
TSLA,Tesla,2022-04-20
TSLA,Tesla,2022-01-26
